date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:18:46	38390/38390	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Feb%202017%2018:43:10%20GMT	https://themazine.com/html/b2b/	D:/Vanity%20Web%20Designs/strategic%20access%20partners%20html/themazine.com/html/b2b/index.html	(from )
19:18:46	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Sep%202023%2023:18:46%20GMT	https://themazine.com/robots.txt		(from )
19:18:46	1567/1567	---M--	200	added ('OK')	image/png	date:Wed,%2011%20Jan%202017%2021:51:18%20GMT	https://themazine.com/html/b2b/images/fav-icon/icon.png	D:/Vanity%20Web%20Designs/strategic%20access%20partners%20html/themazine.com/html/b2b/images/fav-icon/icon.png	(from https://themazine.com/html/b2b/)
19:18:47	71703/71703	---M--	200	added ('OK')	text/css	date:Fri,%2024%20Feb%202017%2010:36:34%20GMT	https://themazine.com/html/b2b/css/style.css	D:/Vanity%20Web%20Designs/strategic%20access%20partners%20html/themazine.com/html/b2b/css/style.css	(from https://themazine.com/html/b2b/)
19:18:48	11840/11840	---M--	200	added ('OK')	text/css	date:Fri,%2003%20Feb%202017%2005:19:28%20GMT	https://themazine.com/html/b2b/css/responsive.css	D:/Vanity%20Web%20Designs/strategic%20access%20partners%20html/themazine.com/html/b2b/css/responsive.css	(from https://themazine.com/html/b2b/)
19:18:48	38390/38390	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Feb%202017%2018:43:10%20GMT	https://themazine.com/html/b2b/index.html	D:/Vanity%20Web%20Designs/strategic%20access%20partners%20html/themazine.com/html/b2b/index-2.html	(from https://themazine.com/html/b2b/)
19:18:49	1608/1608	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Jan%202017%2020:57:26%20GMT	https://themazine.com/html/b2b/images/logo/logo.png	D:/Vanity%20Web%20Designs/strategic%20access%20partners%20html/themazine.com/html/b2b/images/logo/logo.png	(from https://themazine.com/html/b2b/)
19:18:50	41879/41879	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2004:39:14%20GMT	https://themazine.com/html/b2b/index-2.html	D:/Vanity%20Web%20Designs/strategic%20access%20partners%20html/themazine.com/html/b2b/index-3.html	(from https://themazine.com/html/b2b/)
19:18:50	42658/42658	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202017%2005:21:44%20GMT	https://themazine.com/html/b2b/index-3.html	D:/Vanity%20Web%20Designs/strategic%20access%20partners%20html/themazine.com/html/b2b/index-4.html	(from https://themazine.com/html/b2b/)
19:18:52	41043/41043	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2004:58:22%20GMT	https://themazine.com/html/b2b/index-4.html	D:/Vanity%20Web%20Designs/strategic%20access%20partners%20html/themazine.com/html/b2b/index-5.html	(from https://themazine.com/html/b2b/)
19:18:52	26625/26625	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202017%2005:21:16%20GMT	https://themazine.com/html/b2b/about-us-v1.html	D:/Vanity%20Web%20Designs/strategic%20access%20partners%20html/themazine.com/html/b2b/about-us-v1.html	(from https://themazine.com/html/b2b/)
19:18:53	23986/23986	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202017%2005:21:24%20GMT	https://themazine.com/html/b2b/about-us-v2.html	D:/Vanity%20Web%20Designs/strategic%20access%20partners%20html/themazine.com/html/b2b/about-us-v2.html	(from https://themazine.com/html/b2b/)
19:18:53	24701/24701	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202017%2005:22:44%20GMT	https://themazine.com/html/b2b/service-v1.html	D:/Vanity%20Web%20Designs/strategic%20access%20partners%20html/themazine.com/html/b2b/service-v1.html	(from https://themazine.com/html/b2b/)
19:18:54	28962/28962	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202017%2005:22:50%20GMT	https://themazine.com/html/b2b/service-v2.html	D:/Vanity%20Web%20Designs/strategic%20access%20partners%20html/themazine.com/html/b2b/service-v2.html	(from https://themazine.com/html/b2b/)
19:18:54	26753/26753	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202017%2005:22:36%20GMT	https://themazine.com/html/b2b/service-details.html	D:/Vanity%20Web%20Designs/strategic%20access%20partners%20html/themazine.com/html/b2b/service-details.html	(from https://themazine.com/html/b2b/)
